Tournament_Team,KenPom_Team,Match_Score
maryland,maryland,100
wisconsin,wisconsin,100
marquette,marquette,100
kentucky,kentucky,100
texas tech,texas tech,100
georgia,georgia,100
nc state,nc state,100
uconn,wisconsin,57
tulsa,tulsa,100
southern illinois,southern illinois,100
kansas,kansas 1,86
stanford,stanford,100
florida,florida,100
illinois,illinois,100
texas,texas,100
mississippi state,mississippi st,90
wake forest,wake forest,100
oregon,oregon,100
creighton,creighton,100
duke,duke,100
notre dame,notre dame,100
indiana,indiana,100
usc,usc,100
california,california,100
pitt,pittsburgh,57
oklahoma state,oklahoma st,88
alabama,alabama,100
kent state,kent st,82
cincinnati,cincinnati,100
ucla,ucla,100
miami fl,miami fl,100
ohio state,ohio st,82
gonzaga,gonzaga 6,88
arizona,arizona,100
xavier,xavier,100
oklahoma,oklahoma,100
missouri,missouri,100
wyoming,wyoming,100
louisville,louisville,100
syracuse,syracuse,100
st josephs,saint josephs,87
butler,butler,100
auburn,auburn,100
dayton,dayton,100
lsu,lsu,100
michigan state,michigan st 7,81
memphis,memphis,100
central michigan,central michigan,100
arizona state,arizona st,87
seton hall,seton hall,100
unc,ucf,67
manhattan,manhattan,100
vanderbilt,vanderbilt,100
depaul,depaul,100
washington,washington,100
providence,providence,100
boston college,boston college,100
georgia tech,georgia tech,100
pacific,pacific,100
nevada,nevada,100
uab,uab,100
west virginia,west virginia,100
utah,utah,100
milwaukee,milwaukee,100
minnesota,minnesota,100
villanova,villanova,100
charlotte,charlotte,100
george washington,george washington,100
iowa,iowa,100
texas am,texas am,100
georgetown,georgetown,100
montana,montana,100
arkansas,arkansas,100
wichita state,wichita st,87
tennessee,tennessee,100
george mason,george mason,100
washington state,washington st,90
unlv,unlv,100
winthrop,winthrop,100
byu,byu,100
virginia,virginia,100
virginia tech,virginia tech,100
vcu,vcu,100
clemson,clemson,100
kansas state,kansas st,86
davidson,davidson,100
drake,drake,100
purdue,purdue,100
western kentucky,western kentucky,100
florida state,florida st,87
michigan,michigan,100
temple,temple,100
new mexico,new mexico,100
cornell,cornell,100
northern iowa,northern iowa,100
baylor,baylor,100
richmond,richmond,100
old dominion,old dominion,100
saint marys,saint marys,100
st johns ny,st johns,84
san diego state,san diego st,89
south florida,south florida,100
iowa state,iowa st,82
colorado,colorado,100
murray state,murray st,86
colorado state,colorado st,88
saint louis,saint louis,100
ole miss,southern miss,67
harvard,harvard,100
umass,umass lowell,59
stephen f austin,stephen f austin,100
north dakota state,north dakota st,91
smu,smu,100
little rock,little rock,100
oregon state,oregon st,86
yale,yale,100
south carolina,south carolina,100
rhode island,rhode island,100
middle tennessee,middle tennessee,100
northwestern,northwestern,100
tcu,tcu,100
umbc,umbc,100
loyola il,loyola chicago,70
houston,houston,100
liberty,liberty,100
utah state,utah st,82
wofford,wofford,100
buffalo,buffalo,100
rutgers,rutgers,100
boise state,boise st,84
new mexico state,new mexico st,90
fdu,fiu,67
florida atlantic,florida atlantic,100
penn state,penn st,82
duquesne,duquesne,100
nebraska,nebraska,100
james madison,james madison,100
grand canyon,grand canyon,100
siena,siena,100
valparaiso,valparaiso,100
hampton,hampton,100
holy cross,holy cross,100
mcneese state,mcneese st,87
pepperdine,pepperdine,100
unc wilmington,unc wilmington,100
penn,penn,100
central connecticut,central connecticut,100
boston university,boston university,100
ucsb,uab,57
hawaii,hawaii,100
uic,ucf,67
south carolina state,south carolina st,92
austin peay,austin peay,100
etsu,lsu,57
iu indianapolis,indiana st,64
weber state,weber st,84
wagner,wagner,100
unc asheville,unc asheville,100
san diego,san diego,100
troy,troy,100
sam houston,sam houston st,88
vermont,vermont,100
alabama state,alabama st,87
air force,air force,100
princeton,princeton,100
monmouth,monmouth,100
ucf,ucf,100
eastern washington,eastern washington,100
utsa,utsa,100
utep,utep,100
western michigan,western michigan,100
louisiana,louisiana,100
florida am,florida am,100
chattanooga,chattanooga,100
delaware state,delaware st,88
niagara,niagara,100
eastern kentucky,eastern kentucky,100
southeastern louisiana,southeastern louisiana,100
oakland,oakland,100
ohio,ohio,100
bucknell,bucknell,100
southern,southern,100
iona,iona,100
northwestern state,northwestern st,91
south alabama,south alabama,100
oral roberts,oral roberts,100
bradley,bradley,100
belmont,belmont,100
albany ny,albany,80
jackson state,jackson st,87
miami oh,miami oh,100
texas amcorpus christi,texas am corpus chris,70
long beach state,long beach st,90
north texas,north texas,100
wright state,wright st,86
mount st marys,mount st marys,100
american,american,100
portland state,portland st,88
cal state fullerton,cal st fullerton,91
ut arlington,ut arlington,100
mississippi valley state,mississippi valley st,93
binghamton,binghamton,100
morehead state,morehead st,88
cleveland state,cleveland st,89
robert morris,robert morris,100
radford,radford,100
akron,akron,100
morgan state,morgan st,86
cal state northridge,cal st northridge,92
lehigh,lehigh,100
arkansaspine bluff,arkansas pine bluff,76
indiana state,indiana st,87
liu,liu,100
st peters,saint peters,86
northern colorado,northern colorado,100
southern miss,southern miss,100
st bonaventure,st bonaventure,100
loyola md,loyola md,100
detroit mercy,detroit mercy,100
south dakota state,south dakota st,91
norfolk state,norfolk st,87
north carolina at,north carolina at,100
florida gulf coast,florida gulf coast,100
la salle,la salle,100
coastal carolina,coastal carolina,100
delaware,delaware,100
north carolina central,north carolina central,100
cal poly,cal poly,100
mercer,mercer,100
lafayette,lafayette,100
ucirvine,uc irvine,71
northeastern,northeastern,100
georgia state,georgia st,87
texas southern,texas southern,100
stony brook,stony brook,100
fresno state,fresno st,86
green bay,green bay,100
cal state bakersfield,cal st bakersfield,92
ucdavis,davidson,67
jacksonville state,jacksonville st,91
northern kentucky,northern kentucky,100
north dakota,north dakota,100
marshall,marshall,100
college of charleston,college of charleston,100
unc greensboro,unc greensboro,100
lipscomb,lipscomb,100
abilene christian,abilene christian,100
gardnerwebb,gardner webb,96
colgate,colgate,100
drexel,drexel,100
hartford,hartford,100
san francisco,san francisco,100
longwood,longwood,100
montana state,montana st,87
kennesaw state,kennesaw st,88
furman,furman,100
howard,howard,100
stetson,stetson,100
grambling,grambling st,86
samford,samford,100
